symbol,side,setup,result,result_raw,pnl_pips,fibonacci_fib_1_0,fibonacci_fib_1_618,fibonacci_swing_high,fibonacci_swing_low,liquidity_vwap_dist,microstructure_body_size,microstructure_lower_wick,microstructure_upper_wick,momentum_rsi14,momentum_rsi9,momentum_sar,ohlcv_close,ohlcv_high,ohlcv_low,ohlcv_open,ohlcv_real_volume,ohlcv_tick_volume,regime_z_score,relative_distances_dist_ema9,relative_distances_dist_sma200,relative_distances_dist_sma21,relative_distances_dist_vwap,time_day_of_week,time_hour,time_minute,trend_adx,trend_ema9,trend_sma200,trend_sma21,volatility_atr,volatility_bollinger_bandwidth
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,4.144070860445936,2.5,66.0,7.0,41.45187675567665,40.99415101696408,25239.1712224,25212.45,25219.45,25143.95,25209.95,0.0,484.0,-1.306726470140844,-0.00030747843942573714,-0.005031344978505035,-0.0006060977282095531,0.00016439307235063325,4,4,30,20.53944431907252,25220.204669173676,25339.944,25227.74047619048,19.259311892809826,0.0019497159338355892
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,4.6878820568126685,3.0,66.0,6.5,41.7380602684979,41.37521040142312,25239.1712224,25212.95,25219.45,25143.95,25209.95,0.0,494.0,-1.2693580362793073,-0.0002916169836228519,-0.005011711449351224,-0.0005872215051048853,0.00018596609456372813,4,4,30,20.53944431907252,25220.304669173674,25339.9465,25227.76428571429,19.259311892809826,0.0019446251831861491
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,1.125872249056556,1.0,65.0,9.5,39.36706771147656,38.18141845894109,25239.1712224,25208.95,25219.45,25143.95,25209.95,0.0,503.0,-1.5597250855955533,-0.0004185121520874149,-0.005168779791054131,-0.000738232287592419,4.4663602988926717e-05,4,4,30,20.53944431907252,25219.504669173675,25339.926499999998,25227.573809523812,19.259311892809826,0.0019894141168308624
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-8.799839657938719,12.0,54.0,9.5,34.850361959955706,32.37129657606522,25239.1712224,25197.95,25219.45,25143.95,25209.95,0.0,511.0,-2.2479765099366347,-0.000767515379918197,-0.005600719009170854,-0.0011535236977768776,-0.0003491064779836818,4,4,30,20.53944431907252,25217.304669173674,25339.871499999997,25227.050000000003,19.259311892809826,0.002156332178574829
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-2.8626823194608733,5.5,60.5,9.5,37.14335262363684,35.217666507684996,25239.1712224,25204.45,25219.45,25143.95,25209.95,0.0,514.0,-1.8614301138985776,-0.0005612788399421318,-0.005345481971833749,-0.0009081221436553108,-0.00011356554962992042,4,4,30,20.53944431907252,25218.604669173674,25339.904,25227.359523809526,19.259311892809826,0.00205038621995984
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,4.465798334218562,2.5,66.0,7.0,41.45187675567665,40.99415101696408,25239.1712224,25212.45,25219.45,25143.95,25209.95,0.0,521.0,-1.306726470140844,-0.00030747843942573714,-0.005031344978505035,-0.0006060977282095531,0.00017715809001195165,4,4,30,20.53944431907252,25220.204669173676,25339.944,25227.74047619048,19.259311892809826,0.0019497159338355892
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-0.8786116983792454,3.5,62.5,9.5,37.91084685188127,36.19697649385959,25239.1712224,25206.45,25219.45,25143.95,25209.95,0.0,532.0,-1.7307261565581207,-0.0004978257206566373,-0.005266947630524711,-0.0008326151846471848,-3.485540700935257e-05,4,4,30,20.53944431907252,25219.004669173675,25339.914,25227.454761904763,19.259311892809826,0.0020219604398152577
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-2.606610555852967,5.5,60.5,9.5,37.14335262363684,35.217666507684996,25239.1712224,25204.45,25219.45,25143.95,25209.95,0.0,541.0,-1.8614301138985776,-0.0005612788399421318,-0.005345481971833749,-0.0009081221436553108,-0.0001034079700825287,4,4,30,20.53944431907252,25218.604669173674,25339.904,25227.359523809526,19.259311892809826,0.00205038621995984
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,1.5625871687552717,1.0,65.0,9.5,39.36706771147656,38.18141845894109,25239.1712224,25208.95,25219.45,25143.95,25209.95,0.0,552.0,-1.5597250855955533,-0.0004185121520874149,-0.005168779791054131,-0.000738232287592419,6.198925510066435e-05,4,4,30,20.53944431907252,25219.504669173675,25339.926499999998,25227.573809523812,19.259311892809826,0.0019894141168308624
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-2.3941441441456845,5.5,60.5,9.5,37.14335262363684,35.217666507684996,25239.1712224,25204.45,25219.45,25143.95,25209.95,0.0,564.0,-1.8614301138985776,-0.0005612788399421318,-0.005345481971833749,-0.0009081221436553108,-9.497992412119837e-05,4,4,30,20.53944431907252,25218.604669173674,25339.904,25227.359523809526,19.259311892809826,0.00205038621995984
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-6.80868665977323,10.5,55.5,9.5,35.35402249371623,32.98653776622315,25239.1712224,25199.45,25219.45,25143.95,25209.95,0.0,574.0,-2.1639626221537576,-0.0007199204449368472,-0.005541818096290045,-0.0010968920354143116,-0.0002701188916773546,4,4,30,20.53944431907252,25217.604669173674,25339.879,25227.12142857143,19.259311892809826,0.002130138043795187
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-3.1133401920451433,6.5,59.5,9.5,36.7711420084571,34.74761773102075,25239.1712224,25203.45,25219.45,25143.95,25209.95,0.0,584.0,-1.9247139233987824,-0.0005930061544278612,-0.005384749165732543,-0.0009458758369496592,-0.0001235130767343004,4,4,30,20.53944431907252,25218.404669173673,25339.898999999998,25227.311904761907,19.259311892809826,0.0020653656563428963
