symbol,side,setup,result,pnl_pips,body_size,upper_wick,lower_wick,adx,z_score,atr,rsi14,bollinger_bandwidth,dist_ema9,dist_sma21,dist_sma200,dist_vwap,hour,day_of_week,dir_lag1,dir_lag2,dir_lag3,rolling_vol_10
HK50,BUY,Russian,0,-92.20630244309359,0.772987471581269,0.6217507923588469,0.10082445281494813,31.40038492190613,-2.1299737177539817,29.75468664834869,28.89561429450501,0.00696235150133139,-0.0020005342640817643,-0.003640328268608285,0.0030416238122474657,0.0016937635498700647,16,3,-1.0,0.0,-1.0,0.0011150021099865831
HK50,BUY,Russian,0,-48.128679205765366,1.106664950236756,0.0,0.3651994335781832,28.88468100688366,-2.168548374557586,13.554237889969274,25.145836494855487,0.0035760794884621082,-0.0009528562554140352,-0.001892241729303591,0.0006259766540716827,-0.00019832924337031895,16,2,-1.0,-1.0,-1.0,0.00017833302005989407
HK50,BUY,Russian,0,-51.57275161620419,1.7611205008052435,0.10359532357677903,0.28488713983614233,23.797716319036613,-2.271063653930566,19.30589075787492,29.926649731521266,0.003813518513606041,-0.001188205978207954,-0.002059530973423441,0.002894008134106425,0.002551203776395863,16,3,-1.0,-1.0,1.0,0.0005783477822835033
HK50,BUY,Russian,0,-54.81119050002235,1.8873966782190073,0.6094718440082211,0.43252840542518917,27.117330520178914,-2.417944927721843,25.431855716358445,29.47196956200439,0.004056299676405739,-0.0015779647639050005,-0.002519734454891124,0.001616976385122893,0.0012190765997439298,16,3,1.0,-1.0,1.0,0.0007484227126129208
HK50,SELL,Russian,0,-83.51907503193434,0.6258248552131898,0.3337732561137012,0.556288760189502,23.59904257453468,2.9065642536332867,35.95255096145915,71.07253931729552,0.0063208255634464505,0.00288089002399631,0.004385237837483367,-0.003306150799411894,-0.0015021357091830935,16,4,1.0,1.0,1.0,0.0010752209630305702
HK50,SELL,Russian,1,167.94755224930486,0.44021597578225546,0.40499869771967506,0.052825917093870654,18.739322166196743,2.367407323277018,28.395153033207702,70.70349456998596,0.006039396175132289,0.0018870481708738432,0.003412240409134721,-0.002241227720031156,-0.00045549156670409726,16,0,1.0,-1.0,1.0,0.0009312611209235734
HK50,BUY,Russian,1,135.1803828493139,0.7947426139944891,0.6014268430228566,3.4367248172734666,22.09295413093541,-3.735347018461892,23.277976635751763,22.110879797134615,0.00374310958790715,-0.0029038825427722707,-0.0033253533633871633,0.00014431849393422384,0.001086897800736167,3,0,-1.0,-1.0,1.0,0.0010313132423914024
HK50,BUY,Russian,1,140.2656184971711,0.6603720835096267,0.7200318667550774,0.10286169525072533,28.44413183806067,-2.0105201546761666,24.304479854296112,29.128911004143973,0.005513376764538294,-0.0015110250520424136,-0.002636002696666666,0.0005291310797559401,0.0008279352605955558,3,0,-1.0,-1.0,-1.0,0.0010567053513395603
HK50,SELL,Russian,1,65.0243623967981,1.772766947525054,0.04938069491713042,0.5481257135800758,19.117810079928972,2.818153049939509,10.125414412233138,74.76302238116106,0.002157288849914201,0.0009048626943164287,0.001469273283442662,-0.0031515772920590324,-0.0015613899709513773,15,2,1.0,0.0,1.0,0.0002627663027803016
HK50,SELL,Russian,0,-31.98482206799963,2.241499081908583,0.056389914010278826,0.5357041830976489,27.705627431854513,3.924785576653741,17.73366775870094,71.39900625196574,0.002490929847284134,0.0019104487790276724,0.002415436094136349,-0.0025935392571365293,-0.0029665625573349584,19,0,1.0,1.0,1.0,0.0005739560604637159
HK50,BUY,Russian,0,-67.36995661040055,0.25838652738369877,0.35066743002073403,0.18456180527407054,27.849444041529413,-2.4758858383651248,27.091195778970093,28.596229938389172,0.005281396557557366,-0.0018053139800272493,-0.0031714160451031394,0.002894589509540945,0.0026830468985303522,17,2,-1.0,-1.0,-1.0,0.0007655436160157793
HK50,BUY,Russian,0,-79.05478114652578,0.7176073114372878,0.2870429245749151,0.3588036557186439,30.23767276188744,-2.492155197421868,27.87039608047223,25.21827419203906,0.006199056173071085,-0.0021204484310575443,-0.0037701526748482282,0.0020137613052330365,0.0018179809266830784,17,2,-1.0,-1.0,-1.0,0.0007823706549569024
HK50,BUY,Russian,0,-91.35753880128323,0.5450084184851343,0.14533557826270246,0.14533557826270246,32.63868972980907,-2.3837864940911064,27.522510646152785,22.913483750938028,0.0071658465424532134,-0.0022316653537926123,-0.0041540406799069765,0.001310231760149752,0.0011363993803338293,17,2,-1.0,-1.0,-1.0,0.0007890753186734877
